1,1,101,Aspiradora Industrial ,views/img/productos/default/anonymous.png,20,1500,2100
2,1,102,Plato Flotante para Allanadora,views/img/productos/default/anonymous.png,20,4500,6300
3,1,103,Compresor de Aire para pintura,views/img/productos/default/anonymous.png,20,3000,4200
4,1,104,Cortadora de Adobe sin Disco ,views/img/productos/default/anonymous.png,20,4000,5600
5,1,105,Cortadora de Piso sin Disco ,views/img/productos/default/anonymous.png,20,1540,2156
6,1,106,Disco Punta Diamante ,views/img/productos/default/anonymous.png,20,1100,1540
7,1,107,Extractor de Aire ,views/img/productos/default/anonymous.png,20,1540,2156
8,1,108,Guadañadora ,views/img/productos/default/anonymous.png,20,1540,2156
9,1,109,Hidrolavadora Eléctrica ,views/img/productos/default/anonymous.png,20,2600,3640
10,1,110,Hidrolavadora Gasolina,views/img/productos/default/anonymous.png,20,2210,3094
11,1,111,Motobomba a Gasolina,views/img/productos/default/anonymous.png,20,2860,4004
12,1,112,Motobomba Eléctrica,views/img/productos/default/anonymous.png,20,2400,3360
13,1,113,Sierra Circular ,views/img/productos/default/anonymous.png,20,1100,1540
14,1,114,Disco de tugsteno para Sierra circular,views/img/productos/default/anonymous.png,20,4500,6300
15,1,115,Soldador Electrico ,views/img/productos/default/anonymous.png,20,1980,2772
16,1,116,Careta para Soldador,views/img/productos/default/anonymous.png,20,4200,5880
17,1,117,Torre de iluminacion ,views/img/productos/default/anonymous.png,20,1800,2520
18,2,201,Martillo Demoledor de Piso 110V,views/img/productos/default/anonymous.png,20,5600,7840
19,2,202,Muela o cincel martillo demoledor piso,views/img/productos/default/anonymous.png,20,9600,13440
20,2,203,Taladro Demoledor de muro 110V,views/img/productos/default/anonymous.png,20,3850,5390
21,2,204,Muela o cincel martillo demoledor muro,views/img/productos/default/anonymous.png,20,9600,13440
22,2,205,Taladro Percutor de 1/2 plg Madera y Metal,views/img/productos/default/anonymous.png,20,8000,11200
23,2,206,Taladro Percutor SDS Plus 110V,views/img/productos/default/anonymous.png,20,3900,5460
24,2,207,Taladro Percutor SDS Max 110V (Mineria),views/img/productos/default/anonymous.png,20,4600,6440
25,3,301,Andamio colgante,views/img/productos/default/anonymous.png,20,1440,2016
26,3,302,Distanciador andamio colgante,views/img/productos/default/anonymous.png,20,1600,2240
27,3,303,Marco andamio modular ,views/img/productos/default/anonymous.png,20,900,1260
28,3,304,Marco andamio tijera,views/img/productos/default/anonymous.png,20,100,140
29,3,305,Tijera para andamio,views/img/productos/default/anonymous.png,20,162,226.8
30,3,306,Escalera interna para andamio,views/img/productos/default/anonymous.png,20,270,378
31,3,307,Pasamanos de seguridad,views/img/productos/default/anonymous.png,20,75,105
32,3,308,Rueda giratoria para andamio,views/img/productos/default/anonymous.png,20,168,235.2
33,3,309,Arnes de seguridad,views/img/productos/default/anonymous.png,20,1750,2450
34,3,310,Eslinga para arnes,views/img/productos/default/anonymous.png,20,175,245
35,3,311,Plataforma Metálica,views/img/productos/default/anonymous.png,20,420,588
36,4,401,Planta Electrica Diesel 6 Kva,views/img/productos/default/anonymous.png,20,3500,4900
37,4,402,Planta Electrica Diesel 10 Kva,views/img/productos/default/anonymous.png,20,3550,4970
38,4,403,Planta Electrica Diesel 20 Kva,views/img/productos/default/anonymous.png,20,3600,5040
39,4,404,Planta Electrica Diesel 30 Kva,views/img/productos/default/anonymous.png,20,3650,5110
40,4,405,Planta Electrica Diesel 60 Kva,views/img/productos/default/anonymous.png,20,3700,5180
41,4,406,Planta Electrica Diesel 75 Kva,views/img/productos/default/anonymous.png,20,3750,5250
42,4,407,Planta Electrica Diesel 100 Kva,views/img/productos/default/anonymous.png,20,3800,5320
43,4,408,Planta Electrica Diesel 120 Kva,views/img/productos/default/anonymous.png,20,3850,5390
44,5,501,Escalera de Tijera Aluminio ,views/img/productos/default/anonymous.png,20,350,490
45,5,502,Extension Electrica ,views/img/productos/default/anonymous.png,20,370,518
46,5,503,Gato tensor,views/img/productos/default/anonymous.png,20,380,532
47,5,504,Lamina Cubre Brecha ,views/img/productos/default/anonymous.png,20,380,532
48,5,505,Llave de Tubo,views/img/productos/default/anonymous.png,20,480,672
49,5,506,Manila por Metro,views/img/productos/default/anonymous.png,20,600,840
50,5,507,Polea 2 canales,views/img/productos/default/anonymous.png,20,900,1260
51,5,508,Tensor,views/img/productos/default/anonymous.png,20,100,140
52,5,509,Bascula ,views/img/productos/default/anonymous.png,20,130,182
53,5,510,Bomba Hidrostatica,views/img/productos/default/anonymous.png,20,770,1078
54,5,511,Chapeta,views/img/productos/default/anonymous.png,20,660,924
55,5,512,Cilindro muestra de concreto,views/img/productos/default/anonymous.png,20,400,560
56,5,513,Cizalla de Palanca,views/img/productos/default/anonymous.png,20,450,630
57,5,514,Cizalla de Tijera,views/img/productos/default/anonymous.png,20,580,812
58,5,515,Coche llanta neumatica,views/img/productos/default/anonymous.png,20,420,588
59,5,516,Cono slump,views/img/productos/default/anonymous.png,20,140,196
60,5,517,Cortadora de Baldosin,views/img/productos/default/anonymous.png,20,930,1302
